ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERDATE
10107,30,95.7,2/24/2003 0:00
10121,34,81.35,5/7/2003 0:00
10134,41,94.74,7/1/2003 0:00
10145,45,83.26,8/25/2003 0:00
10159,49,100.0,10/10/2003 0:00
10168,36,96.66,10/28/2003 0:00
10180,29,86.13,11/11/2003 0:00
10188,48,100.0,11/18/2003 0:00
10201,22,98.57,12/1/2003 0:00
10211,41,100.0,1/15/2004 0:00
10223,37,100.0,2/20/2004 0:00
10237,23,100.0,4/5/2004 0:00
10251,28,100.0,5/18/2004 0:00
10263,34,100.0,6/28/2004 0:00
10275,45,92.83,7/23/2004 0:00
10285,36,100.0,8/27/2004 0:00
10299,23,100.0,9/30/2004 0:00
10309,41,100.0,10/15/2004 0:00
10318,46,94.74,11/2/2004 0:00
10329,42,100.0,11/15/2004 0:00
10341,41,100.0,11/24/2004 0:00
10361,20,72.55,12/17/2004 0:00
10375,21,34.91,2/3/2005 0:00
10388,42,76.36,3/3/2005 0:00
10403,24,100.0,4/8/2005 0:00
10417,66,100.0,5/13/2005 0:00
10103,26,100.0,1/29/2003 0:00
10112,29,100.0,3/24/2003 0:00
10126,38,100.0,5/28/2003 0:00
10140,37,100.0,7/24/2003 0:00
10150,45,100.0,9/19/2003 0:00
10163,21,100.0,10/20/2003 0:00
10174,34,100.0,11/6/2003 0:00
10183,23,100.0,11/13/2003 0:00
10194,42,100.0,11/25/2003 0:00
10206,47,100.0,12/5/2003 0:00
10215,35,100.0,1/29/2004 0:00
10228,29,100.0,3/10/2004 0:00
10245,34,100.0,5/4/2004 0:00
10258,32,100.0,6/15/2004 0:00
10270,21,100.0,7/19/2004 0:00
10280,34,100.0,8/17/2004 0:00
10291,37,100.0,9/8/2004 0:00
10304,47,100.0,10/11/2004 0:00
10312,48,100.0,10/21/2004 0:00
10322,40,100.0,11/4/2004 0:00
10333,26,100.0,11/18/2004 0:00
10347,30,100.0,11/29/2004 0:00
10357,32,100.0,12/10/2004 0:00
10369,41,100.0,1/20/2005 0:00
10381,36,100.0,2/17/2005 0:00
10391,24,100.0,3/9/2005 0:00
10411,23,100.0,5/1/2005 0:00
10424,50,100.0,5/31/2005 0:00
10107,39,99.91,2/24/2003 0:00
10120,29,96.34,4/29/2003 0:00
10134,27,100.0,7/1/2003 0:00
10145,37,100.0,8/25/2003 0:00
10159,37,100.0,10/10/2003 0:00
10168,27,100.0,10/28/2003 0:00
10180,42,100.0,11/11/2003 0:00
10188,38,96.34,11/18/2003 0:00
10201,24,100.0,12/1/2003 0:00
10210,23,100.0,1/12/2004 0:00
10223,47,100.0,2/20/2004 0:00
10236,22,100.0,4/3/2004 0:00
10251,44,100.0,5/18/2004 0:00
10263,40,100.0,6/28/2004 0:00
10275,22,100.0,7/23/2004 0:00
10285,47,100.0,8/27/2004 0:00
10298,39,96.34,9/27/2004 0:00
10308,34,100.0,10/15/2004 0:00
10318,45,100.0,11/2/2004 0:00
10329,20,100.0,11/15/2004 0:00
10339,40,68.92,11/23/2004 0:00
10361,26,51.15,12/17/2004 0:00
10374,39,100.0,2/2/2005 0:00
10388,50,44.51,3/3/2005 0:00
10402,45,100.0,4/7/2005 0:00
10417,45,100.0,5/13/2005 0:00
10107,27,100.0,2/24/2003 0:00
10120,46,100.0,4/29/2003 0:00
10134,31,100.0,7/1/2003 0:00
10145,33,100.0,8/25/2003 0:00
10159,22,100.0,10/10/2003 0:00
10168,20,100.0,10/28/2003 0:00
10180,41,100.0,11/11/2003 0:00
10188,45,100.0,11/18/2003 0:00
